# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
True Colors LGBT Youth Homelessness 101 Course,,"A free, online course that covers oppression, facts about LGBTQ youth homelessness, gender pronouns, unique experiences of transgender youth, and creating inclusive environments.","LGBTQ, education",,thriv.life/TrueC-Homeless101,https://learn.truecolorsunited.org/courses/lgbt-youth-homelessness-101/
True U Clinic,,"Online transgender and non-binary informed consent clinic serving patients in AZ, CO, IA, ID, ME, MD, MT, NM, NV, OR, and WA. Costs are clearly listed on their website.","LGBTQ, health",,thriv.life/TrueU,https://trueuclinic.com/
Tucking Guidance,,Information for trans feminine and non-binary folks on how to tuck and tucking safety.,"LGBTQ, gender identity",,thriv.life/Tucking,https://www.transhub.org.au/tucking
Turn Signl App,,"An on-demand, real-time app (Android and iOS) and service that facilitates and records law enforcement interactions with drivers during traffic stops and accidents. In the event that they are pulled over, a driver can access a live legal representative at the touch of a button or voice command. TurnSignl vetted attorneys meet stringent criteria and are trained in de-escalating police-citizen encounters. Pricing is clearly labeled.","app, Black, Indigenous, PoC",,thriv.life/TurnSignl,https://turnsignl.com/
Twainbow,,"LGBTQI+ people with an Autistic diagnosis have two separate rainbows, and two separate coming out stories. The challenges for each minority group are great, and being a double-social minority can be especially tough. Education and peer support goes a long way in helping to navigate these challenges, and make for a smoother trip on the social highway. That's the premise of Twainbow people living under a double-rainbow.","LGBTQ, disability",,thriv.life/Twainbow,https://www.twainbow.org/
#Two-Spirit /LGBTQ+ Native Americans in Higher Education Resource Guide,,Downloadable PDF of resources of Native Americans and LGBT people.,"LGBTQ, indigenous",,thriv.life/LGBTQ2S-HE,http://architect.lgbtcampus.org/research/two-spirit-lgbtq-native-americans-in-higher-e/download
Two-Spirit Resource Directory,,"Downloadable PDF that includes a directory prepared by Harlan Pruden (Nehiyawe/First Nations Cree), Managing Editor of the Two-Spirit Journal.","LGBTQ, gender identity, Indigenous",,thriv.life/2S-Res,https://twospiritjournal.com/wp-content/uploads/2016/07/Two-Spirit-Resource-Directory-May-2016.pdf
#Two-Spirited Podcasts,,Podcasts recorded by Margaret Robinson during a post-doctoral fellowship in Aboriginal Methodologies.,"LGBTQ, gender identity, Indigenous",,thriv.life/2S-Podcasts,https://lgbtqhealth.ca/projects/two-spiritedpodcasts.php
TXT 4 HELP,"Text SAFE to <a href=""sms:44357&body=SAFE"">4HELP (44357)</a>","A 24/7 program by the national Safe Place initiative. Text the word ""SAFE"" and your current location (address, city, state) to 4HELP (44357). They will reply with the location of the closest Safe Place site and the phone number for a local youth agency. You can reply with ""2CHAT"" to text interactively with a trained counselor.","under 18, hotline",,thriv.life/SafePlace,https://www.nationalsafeplace.org/txt-4-help
UCAR Next Generation Fellowships,,"The UCAR Next Generation Fellowships provide financial support for graduate students from underrepresented communities for two years of graduate school and the opportunity to spend two summers in internships with the National Center for Atmospheric Research (NCAR) and the University Corporation for Atmospheric Research (UCAR). The program offers three distinctive tracks: Earth System Science, Diversity & Inclusion, and Public Policy.","STEMM, education, funding",,thriv.life/UCAR,https://www.ucar.edu/opportunities/fellowships/ucar-next-generation-fellowships
UCSF Center of Excellence for Transgender Health,,"Educational resources, best practices, and guidelines for transgender medicine.","LGBTQ, gender identity, health",,thriv.life/UCSF-Trans,https://prevention.ucsf.edu/transhealth
Ulifeline,,"Information about different mental health conditions, advice for helping a friend, and local resources. Also offers a self-evaluator tool for mental illness screenings.",mental health,,thriv.life/Ulifeline,http://www.ulifeline.org/
Ultimately Caregiving Guide,,information and resources in a PDF for caregivers of loved ones at the end of life,"health, support, education",,,https://7836144.fs1.hubspotusercontent-na1.net/hubfs/7836144/Caregiven%20Ultimate%20Caregiving%20Guide.pdf
Undergrad in the Lab,,A blog with resources for joining and thriving in a research group.,"STEMM, education",,thriv.life/UG-Lab,https://undergradinthelab.com/
Undead Voice Lab Trainings,,"Offers a free Trans Voice 101 Guide, they also periodically hold three week long workshops that include 3 live training sessions, and those are pay what you can (including $0)","LGBTQ, gender identity, education, support",,,https://www.undeadvoice.com/
United We Dream,,Organization with tools and resource guides for people covered by DACA (DREAMers).,general,,thriv.life/UnitedWeDream,https://unitedwedream.org/
Unpaywall,,A browser extension that can find free and legal copies of journal articles and academic works published behind a paywall.,"STEMM, education",,thriv.life/Unpaywall,https://unpaywall.org/
UpLift App,,"This iOS app helps you learn skills related to mood and anxiety, from journals, to navigating triggers and more.","mental health, app",,thriv.life/UpLift,https://www.uplift.app/
US Pain Resource List,,"A categorical resource list pertaining to pain management, including population specific resources.","disability, health, veteran",,thriv.life/USPainRes,https://uspainfoundation.org/resources/
Vaccine Finder,,Site that helps identify local vaccine locations and allows you to search for specific brands.,COVID-19,,thriv.life/VacFind,https://vaccinefinder.org/
Verse A Day App,,An app (Android and iOS) that delivers a new Bible verse each day with commentary.,"religion, app",,thriv.life/VerseADay,http://www.verse-a-day.com/apps/
VetChange,,"A free, confidential online program to help Veterans cut back or stop drinking, and learn to manage PTSD symptoms without using alcohol.","health, mental health, substance use, veteran",,thriv.life/VetChange,https://vetchange.org
Veterans Crisis Line,"<a href=""tel:+988"">988 and press 1</a>","24/7, confidential crisis support for Veterans and their loved ones. Dial 988 then Press 1, chat live, or text 838255","mental health, hotline, veteran",,thriv.life/VetCrisis,https://www.veteranscrisisline.net/
Veterans Moving Forward,,Provides service dogs and canine therapy services to veterans with physical and/or mental health challenges.,"veteran, mental health, disability",,thriv.life/VetsFwd,https://vetsfwd.org/
Victim Connect,"<a href=""tel:+1885-484-2846"">855-4-VICTIM (84-2846)</a>",A referral helpline and chat line that assists crime victims to learn about their rights and their options as well as providing resources.,hotline,,thriv.life/VicConnect,https://victimconnect.org/
Vision Aware Resources,,"Resources for people with eye conditions,  low-vision, and blindness.","disability, support",Español,thriv.life/VisAwRes,https://aphconnectcenter.org/visionaware/living-with-blindness-or-low-vision/adjusting-to-blindness-low-vision/support-groups/support-groups-and-other-resources/
Voices of Academia,,A blog and podcast that works to have discussions of mental health and work-life balance in academia.,"academia, mental health, education",,,https://voicesofacademia.com/
WANA: We Are Not Alone,,"An app-based (Android and iOS) social community for fostering hope, direction, and healing for people with chronic and invisible health conditions.","disability, support, app",,thriv.life/WANA,https://www.joinwana.com/
Warmline Directory,,A state-based directory of non-crisis warm lines for peer support.,"hotline, support",,thriv.life/WarmDirect,https://warmline.org/warmdir.html#directory
Washington Internships for Students of Engineering (WISE),,"Students discover how government officials make decisions on complex technological issues, while also learning how engineers and scientists can contribute to the legislative process and regulatory decision-making","STEMM, education",,thriv.life/WISE,https://wise-intern.org/
Wellness Recovery Action Plan (WRAP),,A process supporting people to identify the tools that keep them well and create action plans to put those tools into practice. WRAP helps incorporate key recovery concepts and wellness tools into these plans and life.,"mental health, support",,thriv.life/WRAP,https://www.wellnessrecoveryactionplan.com/wrap-in-action/our-online-community/
We R Native,,Resources by Native youth for Native youth on a wide range of topics.,"general, health, mental health, Indigenous",,thriv.life/WeRNative,https://www.wernative.org/
What About You?,,A workbook for caregivers on practicing self-care and understanding burnout.,"general, support",,thriv.life/WAY,http://508.center4si.com/SelfCareforCareGivers.pdf
What to Expect When He's Expecting,,"A comprehensive guide to transmasculine reproduction with information on fertility, pregnancy, lactation, the postpartum period, and parthood. Content contains detailed image descriptions.","LGBTQ, gender identity, gestation, health, sexual health",,thriv.life/W2EWHE,https://transmasculinereproduction.sites.ucsc.edu/
